redcap_event_name,Blood,Urine,Stool,Milk,Cord Blood
Delivery,0.0,0.0,0.0,0.0,117.0
Infant (Month 10),0.0,0.0,1.0,0.0,0.0
Maternal (Month 1),111.0,108.0,0.0,111.0,0.0
Infant (Month 1),100.0,0.0,74.0,0.0,0.0
Infant (Month 2),0.0,0.0,66.0,0.0,0.0
Maternal (Month 3),0.0,0.0,0.0,35.0,0.0
Infant (Month 3),0.0,0.0,64.0,0.0,0.0
Infant (Month 4),0.0,0.0,63.0,0.0,0.0
Infant (Month 5),0.0,0.0,45.0,0.0,0.0
Maternal (Month 6),45.0,42.0,0.0,45.0,0.0
Infant (Month 6),39.0,0.0,38.0,0.0,0.0
Infant (Month 7),0.0,0.0,26.0,0.0,0.0
Infant (Month 8),0.0,0.0,18.0,0.0,0.0
Infant (Month 9),0.0,0.0,5.0,0.0,0.0
Week 20,265.0,264.0,0.0,0.0,0.0
Week 28,194.0,191.0,0.0,0.0,0.0
Week 36,137.0,137.0,0.0,0.0,0.0
