redcap_event_name,Blood,Urine,Stool,Milk,Cord Blood
Delivery,0.0,0.0,0.0,0.0,129.0
Infant (Month 10),0.0,0.0,7.0,0.0,0.0
Infant (Month 11),0.0,0.0,1.0,0.0,0.0
Maternal (Month 1),118.0,115.0,0.0,117.0,0.0
Infant (Month 1),105.0,0.0,85.0,0.0,0.0
Infant (Month 2),0.0,0.0,78.0,0.0,0.0
Maternal (Month 3),0.0,0.0,0.0,43.0,0.0
Infant (Month 3),0.0,0.0,78.0,0.0,0.0
Infant (Month 4),0.0,0.0,69.0,0.0,0.0
Infant (Month 5),0.0,0.0,58.0,0.0,0.0
Maternal (Month 6),62.0,59.0,0.0,62.0,0.0
Infant (Month 6),58.0,0.0,56.0,0.0,0.0
Infant (Month 7),0.0,0.0,36.0,0.0,0.0
Infant (Month 8),0.0,0.0,23.0,0.0,0.0
Infant (Month 9),0.0,0.0,18.0,0.0,0.0
Week 20,306.0,305.0,0.0,0.0,0.0
Week 28,221.0,218.0,0.0,0.0,0.0
Week 36,162.0,162.0,0.0,0.0,0.0
