redcap_event_name,Blood,Urine,Stool,Milk,Cord Blood
Delivery,0,0,0,0,133
Infant (Month 10),0,0,13,0,0
Infant (Month 11),0,0,2,0,0
Maternal (Month 1),119,116,0,118,0
Infant (Month 1),105,0,86,0,0
Infant (Month 2),0,0,79,0,0
Maternal (Month 3),0,0,0,46,0
Infant (Month 3),0,0,82,0,0
Infant (Month 4),0,0,70,0,0
Infant (Month 5),0,0,61,0,0
Maternal (Month 6),66,63,0,66,0
Infant (Month 6),64,0,58,0,0
Infant (Month 7),0,0,41,0,0
Infant (Month 8),0,0,26,0,0
Infant (Month 9),0,0,20,0,0
Week 20,317,316,0,0,0
Week 28,235,232,0,0,0
Week 36,173,173,0,0,0
