redcap_event_name,Blood,Urine,Stool,Milk,Cord Blood
Delivery,0.0,0.0,0.0,0.0,127.0
Infant (Month 10),0.0,0.0,5.0,0.0,0.0
Infant (Month 11),0.0,0.0,1.0,0.0,0.0
Maternal (Month 1),118.0,115.0,0.0,117.0,0.0
Infant (Month 1),105.0,0.0,83.0,0.0,0.0
Infant (Month 2),0.0,0.0,74.0,0.0,0.0
Maternal (Month 3),0.0,0.0,0.0,43.0,0.0
Infant (Month 3),0.0,0.0,77.0,0.0,0.0
Infant (Month 4),0.0,0.0,68.0,0.0,0.0
Infant (Month 5),0.0,0.0,53.0,0.0,0.0
Maternal (Month 6),59.0,56.0,0.0,59.0,0.0
Infant (Month 6),55.0,0.0,52.0,0.0,0.0
Infant (Month 7),0.0,0.0,34.0,0.0,0.0
Infant (Month 8),0.0,0.0,22.0,0.0,0.0
Infant (Month 9),0.0,0.0,16.0,0.0,0.0
Week 20,299.0,298.0,0.0,0.0,0.0
Week 28,216.0,213.0,0.0,0.0,0.0
Week 36,154.0,154.0,0.0,0.0,0.0
