redcap_event_name,Blood,Urine,Stool,Milk,Cord Blood
Delivery,0.0,0.0,0.0,0.0,82.0
Maternal (Month 1),91.0,90.0,0.0,90.0,0.0
Infant (Month 1),74.0,0.0,63.0,0.0,0.0
Infant (Month 2),0.0,0.0,55.0,0.0,0.0
Maternal (Month 3),0.0,0.0,0.0,26.0,0.0
Infant (Month 3),0.0,0.0,48.0,0.0,0.0
Infant (Month 4),0.0,0.0,33.0,0.0,0.0
Infant (Month 5),0.0,0.0,17.0,0.0,0.0
Maternal (Month 6),22.0,21.0,0.0,22.0,0.0
Infant (Month 6),12.0,0.0,13.0,0.0,0.0
Infant (Month 7),0.0,0.0,5.0,0.0,0.0
Infant (Month 8),0.0,0.0,1.0,0.0,0.0
Week 20,214.0,213.0,0.0,0.0,0.0
Week 28,148.0,145.0,0.0,0.0,0.0
Week 36,122.0,122.0,0.0,0.0,0.0
