redcap_event_name,Blood,Urine,Stool,Milk,Cord Blood
Delivery,0.0,0.0,0.0,0.0,96.0
Maternal (Month 1),100.0,98.0,0.0,100.0,0.0
Infant (Month 1),80.0,0.0,67.0,0.0,0.0
Infant (Month 2),0.0,0.0,60.0,0.0,0.0
Maternal (Month 3),0.0,0.0,0.0,32.0,0.0
Infant (Month 3),0.0,0.0,61.0,0.0,0.0
Infant (Month 4),0.0,0.0,53.0,0.0,0.0
Infant (Month 5),0.0,0.0,34.0,0.0,0.0
Maternal (Month 6),31.0,30.0,0.0,31.0,0.0
Infant (Month 6),15.0,0.0,22.0,0.0,0.0
Infant (Month 7),0.0,0.0,18.0,0.0,0.0
Infant (Month 8),0.0,0.0,8.0,0.0,0.0
Infant (Month 9),0.0,0.0,1.0,0.0,0.0
Week 20,236.0,235.0,0.0,0.0,0.0
Week 28,168.0,165.0,0.0,0.0,0.0
Week 36,131.0,131.0,0.0,0.0,0.0
